Stress_class	Stress_info	Pathogen	Sample_description	BioSample	BioProject	Tissue	Source_name	Treatment	Project_title	Project_des
abiotic	iron_alkalinity	NA	control_control_tol	SAMN07190372	PRJNA389118	root	NA	20 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_sens	SAMN07190366	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_control_sens	SAMN07190365	PRJNA389118	root	NA	20 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_sens	SAMN07190371	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_tol	SAMN07190377	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_tol	SAMN07190381	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_tol	SAMN07190378	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_tol	SAMN07190387	PRJNA389118	root	NA	1.0 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_control_sens	SAMN07190363	PRJNA389118	root	NA	20 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_control_sens	SAMN07190356	PRJNA389118	root	NA	1.0 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress2.5_sens	SAMN07190359	PRJNA389118	root	NA	1.0 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_sens	SAMN07190370	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_sens	SAMN07190368	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_sens	SAMN07190379	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_sens	SAMN07190361	PRJNA389118	root	NA	1.0 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress2.5_sens	SAMN07190358	PRJNA389118	root	NA	1.0 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress2.5_tol	SAMN07190384	PRJNA389118	root	NA	1.0 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_tol	SAMN07190375	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_tol	SAMN07190388	PRJNA389118	root	NA	1.0 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_tol	SAMN07190382	PRJNA389118	root	NA	1.0 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_tol	SAMN07190389	PRJNA389118	root	NA	1.0 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_control_tol	SAMN07190373	PRJNA389118	root	NA	20 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_sens	SAMN07190367	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_sens	SAMN07190369	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress2.5_tol	SAMN07190385	PRJNA389118	root	NA	1.0 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress2.5_tol	SAMN07190376	PRJNA389118	root	NA	20 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_stress5_tol	SAMN07190380	PRJNA389118	root	NA	20 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress5_sens	SAMN07190362	PRJNA389118	root	NA	1.0 uM Fe and 5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	control_control_sens	SAMN07190364	PRJNA389118	root	NA	20 uM Fe and 0 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
abiotic	iron_alkalinity	NA	stress_stress2.5_tol	SAMN07190386	PRJNA389118	root	NA	1.0 uM Fe and 2.5 mM Bicarbonate	Glycine max Raw sequence reads	Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments
NA	NA	NA	NA	SAMN07337674	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337670	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337667	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337673	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337672	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337669	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337668	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337671	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
NA	NA	NA	NA	SAMN07337666	PRJNA393573	root	soybean	NA	RNA-seq data of soybean SKRP1 and AVR3C	The process of RNA splicing influences many physiological processes including plant immunity. However, how plant parasites manipulate host RNA splicing process remains unknown. Here we demonstrate that PsAvr3c, an avirulence effector from oomycete plant pathogen Phytophthora sojae, physically binds to and stabilizes soybean (Glycine max) serine/lysine/arginine rich proteins GmSKRPs in vivo. The SKRPs are novel proteins that associate with spliceosome components, and are negative regulators of plant immunity. Analysis by RNA-seq data indicates that alternative splicing of pre-mRNAs from 401 soybean genes, including defense related genes, is altered in GmSKRP1 and PsAvr3c over-expressing lines compared to control plants. Representative splicing events mediated by GmSKRP1 and PsAvr3c are tested by infection assays or by transient expression in soybean plants. Our results show that a plant pathogen effector can reprogram host pre-mRNA splicing to promote disease, and we propose that pathogens evolved such strategies to defeat host immune systems. Overall design: three independent soybean SKRP1 over-expression lines, three AVR3C over-expression samples and three GFP control samples
biotic	fungus	Foxysporum	stress	SAMN07342107	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
biotic	fungus	Foxysporum	stress	SAMN07342106	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
biotic	fungus	Foxysporum	stress	SAMN07342105	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
biotic	fungus	Foxysporum	control	SAMN07342102	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
biotic	fungus	Foxysporum	control	SAMN07342103	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
biotic	fungus	Foxysporum	control	SAMN07342104	PRJNA393826	root	NA	NA	Differential response of cultivated and wild soybean to F. oxysporum	Our data enabled us to determine the differences in the defense strategies between the cultivated and wild soybean against the pathogen.This information can be used to efficiently utilize the wild soybean germplasm in breeding programs designed to increase disease resistance to F. oxysporum.
abiotic	drought_heat	NA	stress_8h_drought_heat	SAMN07521013	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_drought_heat	SAMN07521012	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_drought_heat	SAMN07521011	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_drought_heat	SAMN07521038	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_drought_heat	SAMN07521037	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_heat	SAMN07521040	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_heat	SAMN07521039	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_heat	SAMN07521045	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_heat	SAMN07521043	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_heat	SAMN07521041	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_heat	SAMN07521042	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_heat	SAMN07540324	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_24h_drought_heat	SAMN07540325	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	control	SAMN07520854	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	control	SAMN07521021	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	control	SAMN07521022	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_drought	SAMN07521020	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_drought	SAMN07521019	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
abiotic	drought_heat	NA	stress_8h_drought	SAMN07521018	PRJNA399013	leaves	NA	NA	Glycine max Raw sequence reads	This study will give additional knowledge to the plant stress tolerance mechanism and provide useful information for soybean breeding with good drought and heat resistance for future potential changing climate.
biotic	nematode	Hglycines	control	SAMN07599985	PRJNA401337	root	NA	NA	Glycina max strain: Liaodou 15 infected SCN race3 nematode population	"Liaodou 15 a susceptible soybean cyst nematode (SCN) line, and infected SCN after 10 day; examined the whole genome-scale gene expression profiling under SCN invasion"
biotic	nematode	Hglycines	stress	SAMN07599987	PRJNA401337	root	NA	NA	Glycina max strain: Liaodou 15 infected SCN race3 nematode population	"Liaodou 15 a susceptible soybean cyst nematode (SCN) line, and infected SCN after 10 day; examined the whole genome-scale gene expression profiling under SCN invasion"
biotic	nematode	Hglycines	stress	SAMN07599986	PRJNA401337	root	NA	NA	Glycina max strain: Liaodou 15 infected SCN race3 nematode population	"Liaodou 15 a susceptible soybean cyst nematode (SCN) line, and infected SCN after 10 day; examined the whole genome-scale gene expression profiling under SCN invasion"
NA	NA	NA	NA	SAMN07605651	PRJNA401736	leaves	trifoliolate leaves	NA	GmRAV1 regulates regeneration of root and adventitious buds by cytokinin in Arabidopsis and soybean	Purpose:  The goals of this study are to identify what gene GmRAV1 was related to. RNA-Sequencing experiments were designed between GmRAV1-ox soybeans and DN50 soybeans. Methods:  Leaves mRNA  of 30-day-old DN50 and GmRAV1-ox soybeans were used by RNA sequencing using Illumina HiSeqTM2000. The sequence reads that passed quality filters were analyzed at the transcript isoform level with TopHat followed by Cufflinks. Genome_build: Glycine max Wm82.a2.v1 Results: RNA-seq data confirmed that there are 1467 genes with significant differences. Some genes expression of cytokinin and auxin signaling pathways is dramatically changed, such as GmARR9, GmAUX22, GmPIN1, GmCycD3 and GmPDV2. Conclusions: GmRAV1 are related to cytokinin and auxin signaling pathways. Overall design: High-throughput sequencing using Illumina HiSeq 2000 (RNA-Seq) was performed on 30-day-old DN50 and GmRAV1-ox soybeans.
