V2	V1
Glyma.05G097400	Glyma05g21030
Glyma.05G097500	Glyma05g21050
Glyma.05G097700	Glyma05g21081
Glyma.05G097800	Glyma05g21110
Glyma.05G097900	Glyma05g21137
Glyma.05G098000	Glyma05g21164
Glyma.05G098100	Glyma05g21192
Glyma.05G098200	Glyma05g21220
Glyma.05G098400	Glyma05g21240
Glyma.05G098600	Glyma05g21260
Glyma.05G098700	Glyma05g21270
Glyma.05G098800	Glyma05g21280
Glyma.05G098900	Glyma05g21295
Glyma.05G099000	Glyma05g21320
Glyma.05G099100	Glyma05g21333
Glyma.05G099300	Glyma05g21360
Glyma.05G099400	Glyma05g21365
Glyma.05G099500	Glyma05g21370
Glyma.05G099700	Glyma05g21400
Glyma.05G099800	Glyma05g21411
Glyma.05G099900	Glyma05g21420
Glyma.05G100000	Glyma05g21440
Glyma.05G100100	Glyma05g21483
Glyma.05G100200	Glyma05g21496
Glyma.05G100300	Glyma05g21551
Glyma.05G100400	Glyma05g21570
Glyma.05G100500	Glyma05g21580
Glyma.05G100600	Glyma05g21600
Glyma.05G100900	Glyma05g21620
Glyma.05G101100	Glyma05g21641
Glyma.05G101200	Glyma05g21660
Glyma.05G101300	Glyma05g21680
Glyma.05G101400	Glyma05g21700
Glyma.05G101500	Glyma05g21726
Glyma.05G101600	Glyma05g21753
Glyma.05G101700	Glyma05g21780
Glyma.05G101800	Glyma05g21790
Glyma.05G101900	Glyma05g21800
Glyma.05G102000	Glyma05g21810
Glyma.05G102100	Glyma05g21820
Glyma.05G102300	Glyma05g21860
Glyma.05G102400	Glyma05g21880
Glyma.05G102500	Glyma05g21895
Glyma.05G102600	Glyma05g21910
Glyma.05G102700	Glyma05g21921
Glyma.05G102800	Glyma05g21930
Glyma.05G102900	Glyma05g22010
Glyma.05G103000	Glyma05g22020
Glyma.05G103100	Glyma05g22030
Glyma.05G103200	Glyma05g22060
Glyma.05G103300	Glyma05g22120
Glyma.05G103400	Glyma05g22140
Glyma.05G103500	Glyma05g22161
Glyma.05G103600	Glyma05g22180
Glyma.05G103900	Glyma05g22210
Glyma.05G104000	Glyma05g22220
Glyma.05G104100	Glyma05g22235
Glyma.05G104200	Glyma05g22250
Glyma.05G104300	Glyma05g22261
Glyma.05G104400	Glyma05g22270
Glyma.05G104500	Glyma05g22295
Glyma.05G104600	Glyma05g22320
Glyma.05G104700	Glyma05g22335
Glyma.05G104800	Glyma05g22350
Glyma.05G104900	Glyma05g22370
Glyma.05G105000	Glyma05g22380
Glyma.05G105100	Glyma05g22410
Glyma.05G105200	Glyma05g22420
Glyma.05G105300	Glyma05g22440
Glyma.05G105400	Glyma05g22445
Glyma.05G105500	Glyma05g22450
Glyma.05G105600	Glyma05g22460
Glyma.05G105700	Glyma05g22470
Glyma.05G105800	Glyma05g22480
Glyma.05G105900	Glyma05g22491
Glyma.05G106000	Glyma05g22500
Glyma.05G106100	Glyma05g22510
Glyma.05G106400	Glyma05g22606
Glyma.05G106500	Glyma05g22633
Glyma.05G106700	Glyma05g22660
Glyma.05G106800	Glyma05g22670
Glyma.05G106900	Glyma05g22680
Glyma.05G107000	Glyma05g22740
Glyma.05G107300	Glyma05g22751
Glyma.05G107500	Glyma05g22760
Glyma.05G107600	Glyma05g22770
Glyma.05G107700	Glyma05g22782
Glyma.05G107900	Glyma05g22794
Glyma.05G108000	Glyma05g22820
Glyma.05G108100	Glyma05g22850
Glyma.05G108200	Glyma05g22860
Glyma.05G108400	Glyma05g22880
Glyma.05G108500	Glyma05g22960
Glyma.05G108600	Glyma05g22970
Glyma.05G108700	Glyma05g22985
Glyma.05G108800	Glyma05g23000
Glyma.05G108900	Glyma05g23020
Glyma.05G109000	Glyma05g23044
Glyma.05G109100	Glyma05g23068
Glyma.05G109200	Glyma05g23080
Glyma.05G109300	Glyma05g23100
Glyma.05G109500	Glyma05g23150
Glyma.05G109600	Glyma05g23170
Glyma.05G109800	Glyma05g23180
Glyma.05G109900	Glyma05g23201
Glyma.05G110000	Glyma05g23210
Glyma.05G110100	Glyma05g23220
Glyma.05G110200	Glyma05g23230
Glyma.05G110400	Glyma05g23260
Glyma.05G110500	Glyma05g23280
Glyma.05G110600	Glyma05g23291
Glyma.05G110700	Glyma05g23330
Glyma.05G110900	Glyma05g23530
Glyma.05G111100	Glyma05g23547
Glyma.05G111200	Glyma05g23564
Glyma.05G111300	Glyma05g23582
Glyma.05G111400	Glyma05g23620
Glyma.05G111500	Glyma05g23630
Glyma.05G111700	Glyma05g23650
Glyma.05G111800	Glyma05g23660
Glyma.05G111900	Glyma05g23670
Glyma.05G112000	Glyma05g23680
Glyma.05G112100	Glyma05g23690
Glyma.05G112200	Glyma05g23710
Glyma.05G112400	Glyma05g23731
Glyma.05G112600	Glyma05g23770
Glyma.05G112700	Glyma05g23780
Glyma.05G112800	Glyma05g23800
Glyma.05G113000	Glyma05g23840
Glyma.05G113300	Glyma05g23860
Glyma.05G113400	Glyma05g23870
Glyma.05G113600	Glyma05g23880
Glyma.05G113700	Glyma05g23890
Glyma.05G113800	Glyma05g23910
Glyma.05G113900	Glyma05g23931
Glyma.05G114000	Glyma05g23950
Glyma.05G114100	Glyma05g23986
Glyma.18G180700	Glyma05g24034
Glyma.05G114300	Glyma05g24050
Glyma.05G114400	Glyma05g24070
Glyma.05G114500	Glyma05g24080
Glyma.05G114700	Glyma05g24090
Glyma.05G114800	Glyma05g24101
Glyma.05G114900	Glyma05g24110
Glyma.05G115000	Glyma05g24120
Glyma.05G115100	Glyma05g24130
Glyma.05G115200	Glyma05g24161
Glyma.05G115300	Glyma05g24191
Glyma.05G115500	Glyma05g24220
Glyma.05G115700	Glyma05g24230
Glyma.05G115900	Glyma05g24253
Glyma.05G116000	Glyma05g24276
Glyma.05G116200	Glyma05g24300
Glyma.05G116300	Glyma05g24330
Glyma.05G116700	Glyma05g24400
Glyma.05G116800	Glyma05g24410
Glyma.05G116900	Glyma05g24420
Glyma.05G117000	Glyma05g24430
Glyma.05G117200	Glyma05g24455
Glyma.05G117300	Glyma05g24470
Glyma.05G117400	Glyma05g24520
Glyma.05G117500	Glyma05g24530
Glyma.05G117600	Glyma05g24540
Glyma.05G117900	Glyma05g24550
Glyma.05G118000	Glyma05g24560
Glyma.05G118100	Glyma05g24570
Glyma.05G118200	Glyma05g24580
Glyma.05G118300	Glyma05g24590
Glyma.05G118400	Glyma05g24600
Glyma.05G118500	Glyma05g24610
Glyma.05G118600	Glyma05g24620
Glyma.05G118700	Glyma05g24630
Glyma.05G119000	Glyma05g24660
Glyma.11G160300	Glyma05g24681
Glyma.11G160400	Glyma05g24700
Glyma.11G160500	Glyma05g24711
Glyma.11G160600	Glyma05g24721
Glyma.05G119100	Glyma05g24730
Glyma.05G119200	Glyma05g24740
Glyma.05G119300	Glyma05g24751
Glyma.05G119400	Glyma05g24760
Glyma.05G119500	Glyma05g24770
Glyma.05G119600	Glyma05g24790
Glyma.05G119800	Glyma05g24811
Glyma.05G119900	Glyma05g24830
Glyma.05G120100	Glyma05g24850
Glyma.05G120200	Glyma05g24863
Glyma.05G120400	Glyma05g24890
Glyma.05G120500	Glyma05g24910
Glyma.05G120600	Glyma05g24920
Glyma.05G120700	Glyma05g24930
Glyma.05G120800	Glyma05g24940
Glyma.05G120900	Glyma05g24945
Glyma.05G121000	Glyma05g24950
Glyma.05G121100	Glyma05g24960
Glyma.05G121300	Glyma05g24980
Glyma.05G121400	Glyma05g24990
Glyma.05G121500	Glyma05g25000
Glyma.05G121600	Glyma05g25010
Glyma.05G121700	Glyma05g25020
Glyma.05G121800	Glyma05g25050
Glyma.05G121900	Glyma05g25060
Glyma.05G122000	Glyma05g25130
Glyma.05G122100	Glyma05g25150
Glyma.05G122200	Glyma05g25180
Glyma.05G122300	Glyma05g25190
Glyma.05G122400	Glyma05g25200
Glyma.05G122500	Glyma05g25207
Glyma.05G122600	Glyma05g25222
Glyma.05G122700	Glyma05g25230
Glyma.05G122800	Glyma05g25245
Glyma.05G122900	Glyma05g25260
Glyma.05G123000	Glyma05g25270
Glyma.05G123200	Glyma05g25290
Glyma.05G123300	Glyma05g25300
Glyma.05G123400	Glyma05g25311
Glyma.05G123500	Glyma05g25320
Glyma.05G123600	Glyma05g25331
Glyma.05G123700	Glyma05g25340
Glyma.05G123800	Glyma05g25351
Glyma.05G123900	Glyma05g25360
Glyma.05G124000	Glyma05g25370
Glyma.05G124100	Glyma05g25380
Glyma.05G124200	Glyma05g25390
Glyma.05G124300	Glyma05g25400
Glyma.05G124500	Glyma05g25420
Glyma.05G124800	Glyma05g25450
Glyma.05G124900	Glyma05g25460
Glyma.05G125000	Glyma05g25470
Glyma.05G125100	Glyma05g25485
Glyma.05G125200	Glyma05g25500
Glyma.05G125300	Glyma05g25511
Glyma.05G125400	Glyma05g25521
Glyma.05G125500	Glyma05g25530
Glyma.05G125600	Glyma05g25540
Glyma.05G125700	Glyma05g25550
Glyma.05G125800	Glyma05g25580
Glyma.05G125900	Glyma05g25590
Glyma.05G126000	Glyma05g25600
Glyma.05G126100	Glyma05g25610
Glyma.05G126200	Glyma05g25620
Glyma.05G126300	Glyma05g25630
Glyma.05G126400	Glyma05g25641
Glyma.05G126500	Glyma05g25650
Glyma.05G126600	Glyma05g25670
Glyma.05G126700	Glyma05g25681
Glyma.05G126800	Glyma05g25690
Glyma.05G126900	Glyma05g25701
Glyma.05G127100	Glyma05g25711
Glyma.05G127200	Glyma05g25720
Glyma.05G127300	Glyma05g25730
Glyma.05G127400	Glyma05g25740
Glyma.05G127500	Glyma05g25750
Glyma.05G127600	Glyma05g25770
Glyma.05G127700	Glyma05g25780
Glyma.05G127800	Glyma05g25790
Glyma.05G127900	Glyma05g25800
Glyma.05G128000	Glyma05g25810
Glyma.05G128100	Glyma05g25821
Glyma.05G128200	Glyma05g25830
Glyma.05G128300	Glyma05g25840
Glyma.05G128400	Glyma05g25851
Glyma.05G128500	Glyma05g25860
Glyma.05G128600	Glyma05g25870
Glyma.05G128700	Glyma05g25877
Glyma.05G128800	Glyma05g25884
Glyma.05G129000	Glyma05g25900
Glyma.05G129100	Glyma05g25910
Glyma.05G129200	Glyma05g25920
Glyma.05G129300	Glyma05g25941
Glyma.05G129400	Glyma05g25960
Glyma.05G129600	Glyma05g25970
Glyma.05G129700	Glyma05g25980
Glyma.05G129800	Glyma05g25990
Glyma.05G129900	Glyma05g26000
Glyma.05G130000	Glyma05g26010
Glyma.05G130100	Glyma05g26021
Glyma.05G130200	Glyma05g26030
Glyma.05G130300	Glyma05g26040
Glyma.05G130400	Glyma05g26050
Glyma.05G130500	Glyma05g26070
Glyma.05G130600	Glyma05g26080
Glyma.05G130700	Glyma05g26100
Glyma.05G130800	Glyma05g26110
Glyma.05G130900	Glyma05g26121
Glyma.05G131000	Glyma05g26131
Glyma.05G131100	Glyma05g26141
Glyma.05G131200	Glyma05g26150
Glyma.05G131300	Glyma05g26160
Glyma.05G131400	Glyma05g26170
Glyma.05G131500	Glyma05g26180
Glyma.05G131600	Glyma05g26191
Glyma.05G131700	Glyma05g26200
Glyma.05G131800	Glyma05g26210
Glyma.05G131900	Glyma05g26220
Glyma.05G132000	Glyma05g26230
Glyma.05G132100	Glyma05g26240
Glyma.05G132200	Glyma05g26250
Glyma.05G132300	Glyma05g26271
Glyma.05G132500	Glyma05g26290
Glyma.05G132600	Glyma05g26300
Glyma.05G132700	Glyma05g26310
Glyma.05G132800	Glyma05g26320
Glyma.05G132900	Glyma05g26330
Glyma.05G133000	Glyma05g26340
Glyma.05G133100	Glyma05g26360
Glyma.05G133200	Glyma05g26370
Glyma.05G133300	Glyma05g26381
Glyma.05G133400	Glyma05g26390
Glyma.05G133600	Glyma05g26410
Glyma.05G133700	Glyma05g26420
Glyma.05G133800	Glyma05g26430
Glyma.05G133900	Glyma05g26450
Glyma.05G134000	Glyma05g26460
Glyma.05G134100	Glyma05g26470
Glyma.05G134200	Glyma05g26475
Glyma.05G134300	Glyma05g26480
Glyma.05G134400	Glyma05g26490
Glyma.05G134500	Glyma05g26500
Glyma.05G134600	Glyma05g26506
Glyma.05G134700	Glyma05g26513
Glyma.05G134800	Glyma05g26520
Glyma.05G134900	Glyma05g26530
Glyma.05G135100	Glyma05g26560
Glyma.05G135200	Glyma05g26570
Glyma.05G135300	Glyma05g26580
Glyma.05G135400	Glyma05g26590
Glyma.05G135600	Glyma05g26600
Glyma.05G135700	Glyma05g26610
Glyma.05G135800	Glyma05g26620
Glyma.05G135900	Glyma05g26630
Glyma.05G136000	Glyma05g26640
Glyma.05G136100	Glyma05g26660
Glyma.05G136200	Glyma05g26670
Glyma.05G136300	Glyma05g26680
Glyma.05G136400	Glyma05g26690
Glyma.05G136500	Glyma05g26700
Glyma.05G136600	Glyma05g26710
Glyma.05G136700	Glyma05g26731
Glyma.05G136800	Glyma05g26750
Glyma.05G136900	Glyma05g26771
Glyma.05G137000	Glyma05g26780
Glyma.05G137100	Glyma05g26790
Glyma.05G137200	Glyma05g26800
Glyma.05G137300	Glyma05g26810
Glyma.05G137400	Glyma05g26820
Glyma.05G137500	Glyma05g26830
Glyma.05G137600	Glyma05g26855
Glyma.05G137800	Glyma05g26870
Glyma.05G137900	Glyma05g26880
Glyma.05G138000	Glyma05g26890
Glyma.05G138100	Glyma05g26900
Glyma.05G138300	Glyma05g26920
Glyma.05G138400	Glyma05g26930
Glyma.05G138600	Glyma05g26950
Glyma.05G138700	Glyma05g26960
Glyma.05G138800	Glyma05g26970
Glyma.05G138900	Glyma05g26980
Glyma.05G139000	Glyma05g26990
Glyma.05G139100	Glyma05g27010
Glyma.05G139200	Glyma05g27020
Glyma.05G139300	Glyma05g27030
Glyma.05G139400	Glyma05g27040
Glyma.05G139500	Glyma05g27050
Glyma.05G139600	Glyma05g27060
Glyma.05G139700	Glyma05g27070
Glyma.05G139800	Glyma05g27081
Glyma.05G139900	Glyma05g27090
Glyma.05G140000	Glyma05g27105
Glyma.05G140200	Glyma05g27145
Glyma.05G140300	Glyma05g27160
Glyma.05G140400	Glyma05g27190
Glyma.05G140600	Glyma05g27200
Glyma.05G140700	Glyma05g27220
Glyma.05G140800	Glyma05g27240
Glyma.05G140900	Glyma05g27250
Glyma.05G141000	Glyma05g27260
Glyma.05G141100	Glyma05g27270
Glyma.05G141200	Glyma05g27280
Glyma.05G141300	Glyma05g27290
Glyma.05G141400	Glyma05g27300
Glyma.05G141500	Glyma05g27311
Glyma.05G141600	Glyma05g27320
Glyma.05G141700	Glyma05g27331
Glyma.05G141800	Glyma05g27340
Glyma.05G141900	Glyma05g27360
Glyma.05G142000	Glyma05g27367
Glyma.05G142100	Glyma05g27374
Glyma.05G142200	Glyma05g27382
Glyma.05G142300	Glyma05g27390
Glyma.05G142400	Glyma05g27400
Glyma.05G142500	Glyma05g27410
Glyma.05G142700	Glyma05g27420
Glyma.05G142800	Glyma05g27431
Glyma.05G142900	Glyma05g27440
Glyma.05G143000	Glyma05g27450
Glyma.05G143100	Glyma05g27480
Glyma.05G143200	Glyma05g27500
Glyma.05G143300	Glyma05g27520
Glyma.05G143400	Glyma05g27535
Glyma.05G143500	Glyma05g27550
Glyma.05G143700	Glyma05g27570
Glyma.05G143800	Glyma05g27580
Glyma.05G143900	Glyma05g27600
Glyma.05G144000	Glyma05g27610
Glyma.05G144100	Glyma05g27621
Glyma.05G144200	Glyma05g27631
Glyma.05G144300	Glyma05g27641
Glyma.05G144400	Glyma05g27650
Glyma.05G144500	Glyma05g27670
Glyma.05G144600	Glyma05g27680
Glyma.05G144700	Glyma05g27690
Glyma.05G144800	Glyma05g27700
Glyma.05G144900	Glyma05g27720
Glyma.05G145000	Glyma05g27740
Glyma.05G145200	Glyma05g27760
Glyma.05G145400	Glyma05g27780
Glyma.05G145500	Glyma05g27791
Glyma.05G145600	Glyma05g27800
Glyma.05G145700	Glyma05g27810
Glyma.05G145800	Glyma05g27821
Glyma.05G145900	Glyma05g27830
Glyma.05G146000	Glyma05g27840
Glyma.05G146100	Glyma05g27850
Glyma.05G146200	Glyma05g27860
Glyma.05G146300	Glyma05g27880
Glyma.05G146400	Glyma05g27890
Glyma.05G146500	Glyma05g27900
Glyma.05G146600	Glyma05g27910
Glyma.05G146700	Glyma05g27920
Glyma.05G146800	Glyma05g27940
Glyma.05G146900	Glyma05g27950
Glyma.05G147000	Glyma05g27960
Glyma.05G147100	Glyma05g27970
Glyma.05G147200	Glyma05g27980
Glyma.05G147400	Glyma05g28010
Glyma.05G147600	Glyma05g28020
Glyma.05G147700	Glyma05g28030
Glyma.05G147800	Glyma05g28040
Glyma.05G147900	Glyma05g28050
Glyma.05G148000	Glyma05g28060
Glyma.05G148100	Glyma05g28070
Glyma.05G148200	Glyma05g28080
Glyma.05G148300	Glyma05g28090
Glyma.05G148400	Glyma05g28100
Glyma.05G148500	Glyma05g28110
Glyma.05G148600	Glyma05g28120
Glyma.05G148700	Glyma05g28130
Glyma.05G148800	Glyma05g28140
Glyma.05G148900	Glyma05g28150
Glyma.05G149000	Glyma05g28160
Glyma.05G149100	Glyma05g28170
Glyma.05G149200	Glyma05g28180
Glyma.05G149300	Glyma05g28190
Glyma.05G149400	Glyma05g28210
Glyma.05G149500	Glyma05g28220
Glyma.05G149700	Glyma05g28240
Glyma.05G149800	Glyma05g28250
Glyma.05G149900	Glyma05g28260
Glyma.05G150000	Glyma05g28270
Glyma.05G150100	Glyma05g28280
Glyma.05G150200	Glyma05g28290
Glyma.05G150300	Glyma05g28300
Glyma.05G150400	Glyma05g28310
Glyma.05G150500	Glyma05g28321
Glyma.05G150600	Glyma05g28330
Glyma.05G150700	Glyma05g28340
Glyma.05G150800	Glyma05g28350
Glyma.05G150900	Glyma05g28360
Glyma.05G151000	Glyma05g28370
Glyma.05G151100	Glyma05g28380
Glyma.05G151200	Glyma05g28390
Glyma.05G151300	Glyma05g28400
Glyma.05G151400	Glyma05g28410
Glyma.05G151500	Glyma05g28420
Glyma.05G151600	Glyma05g28430
Glyma.05G151700	Glyma05g28440
Glyma.05G151800	Glyma05g28460
Glyma.05G151900	Glyma05g28470
Glyma.05G152000	Glyma05g28480
Glyma.05G152100	Glyma05g28490
Glyma.05G152200	Glyma05g28500
Glyma.05G152300	Glyma05g28510
Glyma.05G152400	Glyma05g28520
Glyma.05G152500	Glyma05g28530
Glyma.05G152800	Glyma05g28560
Glyma.05G152900	Glyma05g28570
Glyma.05G153000	Glyma05g28580
Glyma.05G153300	Glyma05g28600
Glyma.05G153200	Glyma05g28610
Glyma.05G153400	Glyma05g28620
Glyma.05G153500	Glyma05g28630
Glyma.05G153700	Glyma05g28640
Glyma.05G153800	Glyma05g28650
Glyma.05G153900	Glyma05g28660
Glyma.05G154000	Glyma05g28665
Glyma.05G154100	Glyma05g28670
Glyma.05G154200	Glyma05g28680
Glyma.05G154300	Glyma05g28691
Glyma.05G154400	Glyma05g28700
Glyma.05G154600	Glyma05g28720
Glyma.05G154700	Glyma05g28730
Glyma.05G154900	Glyma05g28750
Glyma.05G155000	Glyma05g28760
Glyma.05G155100	Glyma05g28770
Glyma.05G155200	Glyma05g28780
Glyma.05G155300	Glyma05g28790
Glyma.05G155400	Glyma05g28800
Glyma.05G155500	Glyma05g28810
Glyma.05G155600	Glyma05g28820
Glyma.05G155700	Glyma05g28840
Glyma.05G156000	Glyma05g28870
Glyma.05G156100	Glyma05g28880
Glyma.05G156200	Glyma05g28890
Glyma.05G156300	Glyma05g28900
Glyma.05G156400	Glyma05g28910
Glyma.05G156500	Glyma05g28920
Glyma.05G156600	Glyma05g28930
Glyma.05G156700	Glyma05g28935
Glyma.05G156800	Glyma05g28940
Glyma.05G156900	Glyma05g28950
Glyma.05G157000	Glyma05g28960
Glyma.05G157100	Glyma05g28971
Glyma.05G157200	Glyma05g28980
Glyma.05G157300	Glyma05g29000
Glyma.05G157400	Glyma05g29011
Glyma.05G157500	Glyma05g29020
Glyma.05G157600	Glyma05g29030
Glyma.05G157700	Glyma05g29040
Glyma.05G157800	Glyma05g29050
Glyma.05G157900	Glyma05g29060
Glyma.05G158000	Glyma05g29070
Glyma.05G158100	Glyma05g29080
Glyma.05G158200	Glyma05g29090
Glyma.05G158300	Glyma05g29100
Glyma.05G158400	Glyma05g29110
Glyma.05G158500	Glyma05g29120
Glyma.05G158600	Glyma05g29131
Glyma.05G158700	Glyma05g29140
Glyma.05G158800	Glyma05g29150
Glyma.05G158900	Glyma05g29161
Glyma.05G159000	Glyma05g29170
Glyma.05G159200	Glyma05g29190
Glyma.05G159400	Glyma05g29200
Glyma.05G159500	Glyma05g29205
Glyma.05G159600	Glyma05g29211
Glyma.05G159700	Glyma05g29215
Glyma.05G159800	Glyma05g29220
Glyma.05G159900	Glyma05g29230
Glyma.05G160000	Glyma05g29240
Glyma.05G160100	Glyma05g29260
Glyma.05G160200	Glyma05g29265
Glyma.05G160500	Glyma05g29280
Glyma.05G160600	Glyma05g29290
Glyma.05G160700	Glyma05g29300
Glyma.05G160800	Glyma05g29310
Glyma.05G160900	Glyma05g29321
Glyma.05G161000	Glyma05g29330
Glyma.05G161100	Glyma05g29340
Glyma.05G161200	Glyma05g29350
Glyma.05G161300	Glyma05g29370
Glyma.05G161400	Glyma05g29381
Glyma.05G161500	Glyma05g29390
Glyma.05G161600	Glyma05g29400
Glyma.05G161700	Glyma05g29410
Glyma.05G161800	Glyma05g29420
Glyma.05G161900	Glyma05g29430
Glyma.05G162000	Glyma05g29440
Glyma.05G162100	Glyma05g29450
Glyma.05G162200	Glyma05g29460
Glyma.05G162300	Glyma05g29470
Glyma.05G162400	Glyma05g29480
Glyma.05G162500	Glyma05g29500
Glyma.05G162600	Glyma05g29510
Glyma.05G162700	Glyma05g29521
Glyma.05G162800	Glyma05g29530
Glyma.05G162900	Glyma05g29541
Glyma.05G163000	Glyma05g29550
Glyma.05G163100	Glyma05g29580
Glyma.05G163200	Glyma05g29595
Glyma.05G163300	Glyma05g29610
Glyma.05G163400	Glyma05g29630
Glyma.05G163500	Glyma05g29641
Glyma.05G163600	Glyma05g29651
Glyma.05G163700	Glyma05g29660
Glyma.05G163800	Glyma05g29675
Glyma.05G163900	Glyma05g29690
Glyma.05G164100	Glyma05g29700
Glyma.05G164200	Glyma05g29710
Glyma.05G164300	Glyma05g29720
Glyma.05G164400	Glyma05g29730
Glyma.05G164500	Glyma05g29740
Glyma.05G164600	Glyma05g29760
Glyma.05G164700	Glyma05g29770
Glyma.05G164800	Glyma05g29780
Glyma.05G164900	Glyma05g29790
Glyma.05G165000	Glyma05g29810
Glyma.05G165100	Glyma05g29820
Glyma.05G165200	Glyma05g29830
Glyma.05G165300	Glyma05g29840
Glyma.05G165400	Glyma05g29850
Glyma.05G165500	Glyma05g29870
Glyma.05G165600	Glyma05g29880
Glyma.05G165700	Glyma05g29901
Glyma.05G165800	Glyma05g29921
Glyma.05G165900	Glyma05g29940
Glyma.05G166000	Glyma05g29950
Glyma.05G166100	Glyma05g29970
Glyma.05G166200	Glyma05g29980
Glyma.05G166300	Glyma05g29990
Glyma.05G166400	Glyma05g30000
Glyma.05G166500	Glyma05g30010
Glyma.05G166600	Glyma05g30020
Glyma.05G166700	Glyma05g30030
Glyma.05G166800	Glyma05g30040
Glyma.05G166900	Glyma05g30050
Glyma.05G167100	Glyma05g30070
Glyma.05G167200	Glyma05g30080
Glyma.05G167300	Glyma05g30090
Glyma.05G167600	Glyma05g30120
Glyma.05G167700	Glyma05g30130
Glyma.05G167800	Glyma05g30140
Glyma.05G167900	Glyma05g30150
Glyma.05G168000	Glyma05g30160
Glyma.05G168100	Glyma05g30170
Glyma.05G168200	Glyma05g30180
Glyma.05G168300	Glyma05g30190
Glyma.05G168400	Glyma05g30200
Glyma.05G168500	Glyma05g30210
Glyma.05G168600	Glyma05g30230
Glyma.05G168700	Glyma05g30241
Glyma.05G168800	Glyma05g30260
Glyma.05G168900	Glyma05g30270
Glyma.05G169000	Glyma05g30280
Glyma.05G169100	Glyma05g30290
Glyma.05G169200	Glyma05g30300
Glyma.05G169300	Glyma05g30310
Glyma.05G169400	Glyma05g30320
Glyma.05G169500	Glyma05g30330
Glyma.05G169600	Glyma05g30340
Glyma.05G169700	Glyma05g30350
Glyma.05G169800	Glyma05g30360
Glyma.05G169900	Glyma05g30380
Glyma.05G170000	Glyma05g30385
Glyma.05G170100	Glyma05g30390
Glyma.05G170200	Glyma05g30400
Glyma.05G170300	Glyma05g30410
Glyma.05G170400	Glyma05g30420
Glyma.05G170500	Glyma05g30430
Glyma.05G170600	Glyma05g30450
Glyma.05G170700	Glyma05g30460
Glyma.05G170800	Glyma05g30470
Glyma.05G170900	Glyma05g30480
Glyma.05G171000	Glyma05g30490
Glyma.05G171200	Glyma05g30510
Glyma.05G171300	Glyma05g30521
Glyma.05G171900	Glyma05g30560
Glyma.05G172000	Glyma05g30571
Glyma.05G172200	Glyma05g30591
Glyma.05G172300	Glyma05g30600
Glyma.05G172400	Glyma05g30610
Glyma.05G172500	Glyma05g30621
Glyma.05G172600	Glyma05g30630
Glyma.05G172700	Glyma05g30636
Glyma.05G172800	Glyma05g30643
Glyma.05G172900	Glyma05g30650
Glyma.05G173000	Glyma05g30660
Glyma.05G173100	Glyma05g30670
Glyma.05G173300	Glyma05g30681
Glyma.05G173400	Glyma05g30691
Glyma.05G173500	Glyma05g30701
Glyma.05G173600	Glyma05g30710
Glyma.05G173700	Glyma05g30720
Glyma.05G173900	Glyma05g30730
Glyma.05G174000	Glyma05g30745
Glyma.05G174100	Glyma05g30760
Glyma.05G174200	Glyma05g30770
Glyma.05G174300	Glyma05g30780
Glyma.05G174400	Glyma05g30786
Glyma.05G174500	Glyma05g30793
Glyma.05G174600	Glyma05g30800
Glyma.05G181200	Glyma05g30815
Glyma.05G174700	Glyma05g30830
Glyma.05G174800	Glyma05g30850
Glyma.05G174900	Glyma05g30861
Glyma.05G175000	Glyma05g30870
Glyma.05G175100	Glyma05g30880
Glyma.05G175200	Glyma05g30890
Glyma.05G175300	Glyma05g30905
Glyma.05G175400	Glyma05g30920
Glyma.05G175500	Glyma05g30930
Glyma.05G175600	Glyma05g30940
Glyma.05G175700	Glyma05g30950
Glyma.05G175800	Glyma05g30960
Glyma.05G175900	Glyma05g30980
Glyma.05G176100	Glyma05g31000
Glyma.05G176200	Glyma05g31010
Glyma.05G176300	Glyma05g31020
Glyma.05G176400	Glyma05g31026
Glyma.05G176500	Glyma05g31033
Glyma.05G176600	Glyma05g31040
Glyma.05G176700	Glyma05g31050
Glyma.05G176900	Glyma05g31060
Glyma.05G177000	Glyma05g31070
Glyma.05G177100	Glyma05g31080
Glyma.05G177200	Glyma05g31090
Glyma.05G177300	Glyma05g31100
Glyma.05G177400	Glyma05g31110
Glyma.05G177500	Glyma05g31120
Glyma.05G177700	Glyma05g31130
Glyma.05G177800	Glyma05g31141
Glyma.05G177900	Glyma05g31151
Glyma.05G178000	Glyma05g31160
Glyma.05G178100	Glyma05g31170
Glyma.05G178200	Glyma05g31190
Glyma.05G178300	Glyma05g31200
Glyma.05G178400	Glyma05g31211
Glyma.05G178500	Glyma05g31220
Glyma.05G178600	Glyma05g31235
Glyma.05G178700	Glyma05g31250
Glyma.05G178800	Glyma05g31260
Glyma.05G178900	Glyma05g31270
Glyma.05G179000	Glyma05g31280
Glyma.05G179100	Glyma05g31290
Glyma.05G179200	Glyma05g31300
Glyma.05G179300	Glyma05g31310
Glyma.05G179400	Glyma05g31320
Glyma.05G179700	Glyma05g31341
Glyma.05G179800	Glyma05g31350
Glyma.05G179900	Glyma05g31370
Glyma.05G180000	Glyma05g31380
Glyma.05G180100	Glyma05g31390
Glyma.05G180200	Glyma05g31400
Glyma.05G180300	Glyma05g31410
Glyma.05G180400	Glyma05g31420
Glyma.05G180500	Glyma05g31440
